"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2025","19.85","20.20","20.47","19.81","64.06M","-2.26%"
"04/14/2025","20.31","20.59","21.05","19.98","101.96M","2.89%"
"04/11/2025","19.74","19.25","19.80","18.17","128.43M","-0.70%"
"04/10/2025","19.88","20.67","20.82","19.16","129.06M","-7.66%"
"04/09/2025","21.53","18.07","21.73","17.98","224.18M","18.75%"
"04/08/2025","18.13","20.06","20.39","17.67","163.98M","-7.36%"
"04/07/2025","19.57","19.14","20.67","18.56","142.49M","-1.41%"
"04/04/2025","19.85","21.70","22.20","19.70","175.01M","-11.50%"
"04/03/2025","22.43","21.40","23.90","20.86","242.97M","2.05%"
"04/02/2025","21.98","21.89","22.38","21.70","58.88M","-0.32%"
"04/01/2025","22.05","22.56","22.62","21.66","64.06M","-2.91%"
"03/31/2025","22.71","22.38","22.75","21.75","65.83M","0.00%"
"03/28/2025","22.71","23.35","23.58","22.56","58.37M","-3.85%"
"03/27/2025","23.62","23.28","23.76","22.85","57.72M","0.85%"
"03/26/2025","23.42","24.25","24.42","23.25","59.68M","-3.22%"
"03/25/2025","24.20","24.17","24.75","24.11","51.74M","-0.08%"
"03/24/2025","24.22","24.72","24.99","24.13","69.17M","-0.16%"
"03/21/2025","24.26","23.60","24.70","23.49","94.11M","1.25%"
"03/20/2025","23.96","23.77","24.31","23.73","68.94M","-0.66%"
"03/19/2025","24.12","24.90","25.23","24.03","135.49M","-6.94%"
"03/18/2025","25.92","25.55","26.41","25.39","132.49M","0.90%"
"03/17/2025","25.69","24.42","26.15","24.37","160.72M","6.82%"
"03/14/2025","24.05","23.67","24.37","23.52","116.90M","1.48%"
"03/13/2025","23.70","23.50","24.53","23.13","243.26M","14.60%"
"03/12/2025","20.68","20.79","21.17","20.21","128.67M","4.55%"
"03/11/2025","19.78","19.97","20.06","19.29","80.79M","-0.75%"
"03/10/2025","19.93","20.24","20.51","19.65","82.76M","-3.44%"
"03/07/2025","20.64","20.27","21.20","20.11","81.10M","-0.53%"
"03/06/2025","20.75","20.26","21.13","20.00","96.47M","-0.29%"
"03/05/2025","20.81","21.33","21.36","20.18","127.22M","-2.44%"
"03/04/2025","21.33","22.54","22.63","20.76","152.18M","-6.20%"
"03/03/2025","22.74","25.00","25.04","22.52","141.35M","-4.17%"
"02/28/2025","23.73","23.02","24.44","22.64","104.13M","2.77%"
"02/27/2025","23.09","23.70","24.40","23.07","97.87M","-1.83%"
"02/26/2025","23.52","23.25","23.82","23.21","67.45M","2.31%"
"02/25/2025","22.99","24.21","24.28","22.77","88.89M","-5.27%"
"02/24/2025","24.27","24.55","24.80","23.62","91.36M","-2.41%"
"02/21/2025","24.87","25.96","26.29","24.84","111.63M","-4.68%"
"02/20/2025","26.09","25.56","26.12","24.48","144.94M","1.44%"
"02/19/2025","25.72","25.98","26.33","25.46","151.88M","-6.10%"
"02/18/2025","27.39","24.60","27.55","24.49","284.29M","16.06%"
"02/14/2025","23.60","24.36","25.19","22.86","230.25M","-2.20%"
"02/13/2025","24.13","22.84","24.83","22.79","248.66M","7.34%"
"02/12/2025","22.48","21.98","22.56","20.93","162.63M","7.20%"
"02/11/2025","20.97","19.87","21.88","19.86","150.96M","6.07%"
"02/10/2025","19.77","19.25","20.08","19.24","73.01M","3.51%"
"02/07/2025","19.10","19.35","19.36","19.03","58.28M","-1.44%"
"02/06/2025","19.38","19.51","19.70","19.22","45.55M","-1.37%"
"02/05/2025","19.65","19.19","19.77","18.91","66.25M","1.87%"
"02/04/2025","19.29","19.10","19.53","19.02","54.10M","-0.46%"
"02/03/2025","19.38","18.97","19.75","18.78","77.52M","-0.26%"
"01/31/2025","19.43","20.10","20.33","19.38","117.47M","-2.90%"
"01/30/2025","20.01","19.72","20.10","19.43","108.17M","1.32%"
"01/29/2025","19.75","19.87","20.08","19.66","86.51M","-0.25%"
"01/28/2025","19.80","20.34","20.34","19.74","73.41M","-2.41%"
"01/27/2025","20.29","20.81","21.06","20.14","83.58M","-2.59%"
"01/24/2025","20.83","21.36","21.41","20.75","66.30M","-3.43%"
"01/23/2025","21.57","21.69","21.75","21.35","55.78M","-1.33%"
"01/22/2025","21.86","21.73","22.28","21.57","60.97M","0.41%"
"01/21/2025","21.77","22.03","22.41","21.75","96.26M","1.30%"
"01/17/2025","21.49","21.26","21.62","20.79","166.48M","9.25%"
"01/16/2025","19.67","19.75","19.95","19.40","44.90M","-0.25%"
"01/15/2025","19.72","19.40","19.77","19.17","56.31M","2.71%"
"01/14/2025","19.20","19.36","19.52","18.82","47.15M","0.00%"
"01/13/2025","19.20","18.92","19.25","18.73","50.67M","0.26%"
"01/10/2025","19.15","19.66","19.66","18.91","71.24M","-3.67%"
"01/08/2025","19.88","19.83","20.12","19.71","47.90M","-0.65%"
"01/07/2025","20.01","20.02","20.34","19.90","61.73M","0.70%"
"01/06/2025","19.87","20.83","20.98","19.78","83.27M","-3.36%"
"01/03/2025","20.56","20.39","20.67","20.06","48.98M","1.68%"
"01/02/2025","20.22","20.23","20.43","20.00","46.44M","0.85%"
"12/31/2024","20.05","19.99","20.40","19.88","49.85M","1.16%"
"12/30/2024","19.82","20.01","20.11","19.73","59.61M","-2.36%"
"12/27/2024","20.30","20.21","20.60","20.09","48.26M","-0.68%"
"12/26/2024","20.44","20.23","20.67","20.08","39.95M","0.20%"
"12/24/2024","20.40","20.22","20.40","19.96","29.88M","0.99%"
"12/23/2024","20.20","19.58","20.23","19.52","57.99M","3.48%"
"12/20/2024","19.52","18.97","19.76","18.90","108.45M","2.41%"
"12/19/2024","19.06","19.53","19.69","19.03","69.12M","-1.24%"
"12/18/2024","19.30","20.48","20.58","19.21","86.04M","-5.58%"
"12/17/2024","20.44","20.64","20.77","20.29","51.77M","-1.87%"
"12/16/2024","20.83","20.17","21.10","20.00","73.83M","2.41%"
"12/13/2024","20.34","20.60","20.80","20.25","55.10M","-2.12%"
"12/12/2024","20.78","20.02","20.90","19.92","77.70M","3.28%"
"12/11/2024","20.12","20.14","20.25","19.87","75.21M","-0.20%"
"12/10/2024","20.16","20.83","20.86","19.96","90.01M","-3.12%"
"12/09/2024","20.81","20.92","21.06","20.73","68.82M","-0.53%"
"12/06/2024","20.92","20.95","21.05","20.66","78.54M","0.58%"
"12/05/2024","20.80","22.04","22.19","20.66","167.99M","-5.28%"
"12/04/2024","21.96","22.53","22.54","21.81","104.65M","-2.27%"
"12/03/2024","22.47","23.68","23.75","22.44","138.16M","-6.10%"
"12/02/2024","23.93","24.84","25.48","23.44","150.50M","-0.50%"
"11/29/2024","24.05","23.72","24.28","23.60","36.62M","1.69%"
"11/27/2024","23.65","23.83","23.93","23.06","53.99M","-1.66%"
"11/26/2024","24.05","24.95","24.99","23.81","69.61M","-3.30%"
"11/25/2024","24.87","25.04","25.57","24.76","91.13M","1.51%"
"11/22/2024","24.50","24.35","24.68","24.14","36.79M","0.25%"
"11/21/2024","24.44","24.08","24.77","23.83","58.93M","1.79%"
"11/20/2024","24.01","24.07","24.21","23.55","50.19M","-0.79%"
"11/19/2024","24.20","24.50","24.54","24.09","61.19M","-2.58%"
"11/18/2024","24.84","24.33","25.02","24.16","59.67M","2.01%"
"11/15/2024","24.35","24.81","24.82","24.23","55.11M","-2.72%"
"11/14/2024","25.03","25.12","25.61","24.93","49.25M","0.44%"
"11/13/2024","24.92","24.06","25.14","24.02","58.20M","3.15%"
"11/12/2024","24.16","24.66","24.96","23.89","62.54M","-3.55%"
"11/11/2024","25.05","25.96","26.29","24.83","80.19M","-4.39%"
"11/08/2024","26.20","26.00","26.43","25.83","76.43M","-0.11%"
"11/07/2024","26.23","25.43","26.38","25.19","101.49M","4.71%"
"11/06/2024","25.05","24.30","25.12","24.05","116.76M","7.42%"
"11/05/2024","23.32","22.58","23.58","22.40","59.15M","3.55%"
"11/04/2024","22.52","22.96","23.00","22.00","84.62M","-2.93%"
"11/01/2024","23.20","23.00","23.58","21.91","173.47M","7.81%"
"10/31/2024","21.52","22.15","22.25","21.47","112.49M","-3.50%"
"10/30/2024","22.30","22.42","22.93","22.26","50.94M","-2.62%"
"10/29/2024","22.90","22.87","23.14","22.41","83.42M","-0.09%"
"10/28/2024","22.92","22.67","23.27","22.56","41.92M","1.06%"
"10/25/2024","22.68","22.42","23.34","22.41","67.50M","1.52%"
"10/24/2024","22.34","22.09","22.36","21.97","40.55M","1.64%"
"10/23/2024","21.98","22.30","22.42","21.58","45.80M","-1.88%"
"10/22/2024","22.40","22.73","22.82","22.17","50.16M","-1.93%"
"10/21/2024","22.84","22.61","22.88","22.25","39.73M","0.31%"
"10/18/2024","22.77","22.61","22.82","22.50","39.97M","1.47%"
"10/17/2024","22.44","22.72","22.82","22.40","43.81M","0.58%"
"10/16/2024","22.31","22.38","22.54","21.74","62.15M","-1.54%"
"10/15/2024","22.66","23.41","23.72","22.47","68.90M","-3.33%"
"10/14/2024","23.44","23.58","23.77","23.27","35.40M","-0.51%"
"10/11/2024","23.56","23.05","23.82","22.98","43.59M","1.46%"
"10/10/2024","23.22","23.19","23.53","22.96","44.88M","-1.02%"
"10/09/2024","23.46","23.25","23.48","23.06","44.76M","0.60%"
"10/08/2024","23.32","22.25","23.42","22.05","58.65M","4.20%"
"10/07/2024","22.38","22.40","22.65","22.02","54.93M","-0.93%"
"10/04/2024","22.59","22.70","22.91","22.30","49.97M","1.48%"
"10/03/2024","22.26","22.14","22.73","21.65","49.57M","-0.58%"
"10/02/2024","22.39","22.67","23.07","22.35","59.03M","-1.32%"
"10/01/2024","22.69","23.46","23.72","22.25","86.34M","-3.28%"
"09/30/2024","23.46","23.74","23.95","23.09","66.46M","-1.88%"
"09/27/2024","23.91","24.16","24.66","23.70","85.88M","-0.04%"
"09/26/2024","23.92","24.28","24.42","23.25","95.42M","1.61%"
"09/25/2024","23.54","22.80","24.06","22.73","117.01M","3.20%"
"09/24/2024","22.81","22.53","23.10","22.28","113.08M","1.11%"
"09/23/2024","22.56","22.43","22.82","22.03","184.44M","3.30%"
"09/20/2024","21.84","20.89","23.14","20.35","260.38M","3.31%"
"09/19/2024","21.14","21.28","21.69","21.03","99.83M","1.78%"
"09/18/2024","20.77","21.36","21.74","20.72","118.73M","-3.26%"
"09/17/2024","21.47","21.71","22.58","21.24","196.25M","2.68%"
"09/16/2024","20.91","20.03","21.07","19.76","149.34M","6.36%"
"09/13/2024","19.66","19.49","19.80","19.49","44.24M","1.55%"
"09/12/2024","19.36","19.43","19.54","19.04","51.60M","-1.43%"
"09/11/2024","19.64","19.01","19.69","18.52","71.40M","3.48%"
"09/10/2024","18.98","19.03","19.11","18.51","55.62M","-0.47%"
